,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,132.81,184.9,0,105.39,157.55,132.18,53.39,0,20.41,49.17,0,0,0,0,0,
2B,132.81,,255.15,0,402.04,240.43,155.48,488,0,86.67,298.91,0,0,0,0,0,
3B,184.9,255.15,,0,222.93,212.34,236.59,316.43,0,66.48,144.65,0,0,0,0,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,105.39,402.04,222.93,0,,149.3,372.02,333.85,0,168.65,125.91,0,0,0,0,0,
6B,157.55,240.43,212.34,0,149.3,,180.63,297.24,0,42.76,39,0,0,0,0,0,
7B,132.18,155.48,236.59,0,372.02,180.63,,179.33,0,153.61,96.76,0,0,0,0,0,
8B,53.39,488,316.43,0,333.85,297.24,179.33,,0,107.11,149.76,0,0,0,0,0,
9B,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
10B,20.41,86.67,66.48,0,168.65,42.76,153.61,107.11,0,,79.61,0,0,0,0,0,
T1B,49.17,298.91,144.65,0,125.91,39,96.76,149.76,0,79.61,,0,0,0,0,0,
T2B,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
Lab1B,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
